shape,price,carat,color,clarity,type,cut
Emerald,320,0.36,J,SI1,lab,0
Round,1080,0.34,D,SI1,natural,0
Round,520,0.35,I,SI1,natural,0
Round,1300,0.38,D,IF,natural,0
Oval,1080,0.72,F,VS2,lab,0
Princess,7270,2.13,F,VS1,lab,0
Round,610,0.25,G,VS1,natural,0
Princess,13200,2.0,E,SI1,natural,0
Cushion,17780,3.25,F,VS1,lab,0
Round,2440,0.52,E,VVS2,natural,0
Oval,1920,1.28,I,VS1,lab,0
Round,1000,0.91,J,VS2,lab,0
Round,2320,0.57,G,VS1,natural,0
Round,2100,0.5,D,VS2,natural,0
Pear,8350,1.5,G,SI1,natural,1
Round,3310,1.21,E,VS1,lab,0
Round,690,0.3,E,SI2,natural,0
Pear,440,0.43,E,VS2,lab,0
Round,500,0.45,E,SI1,lab,0
Princess,550,0.32,E,SI1,natural,0
Round,6640,1.0,F,VS1,natural,0
Round,880,0.3,D,VVS2,natural,0
Oval,23660,2.5,H,SI1,natural,0
Princess,1060,0.5,I,VS1,natural,0
Radiant,2000,1.03,H,VS2,lab,1
Round,2350,1.27,I,VVS1,lab,0
Marquise,850,0.4,F,SI1,natural,0
Oval,300,0.31,H,VS2,lab,1
Round,2260,0.7,E,SI1,natural,1
Round,1610,0.5,I,IF,natural,0
Emerald,1570,0.51,E,VVS1,natural,0
Round,3500,1.0,H,SI2,natural,0
Oval,620,0.51,F,VS1,lab,0
Round,3200,0.7,E,VS2,natural,0
Princess,2740,0.9,G,VS2,natural,1
Round,12570,1.54,G,IF,natural,0
Oval,470,0.45,E,VS1,lab,0
Round,1390,0.5,D,SI2,natural,0
Oval,8590,1.5,D,SI2,natural,1
Princess,570,0.36,H,VVS2,natural,0
Round,1400,0.33,D,VVS1,natural,0
Asscher,4780,1.53,E,VS1,lab,1
Round,5140,1.0,F,SI1,natural,0
Round,520,0.47,G,VS2,lab,0
Princess,610,0.61,I,VS1,lab,0
Round,910,0.4,I,SI1,natural,1
Marquise,770,0.43,H,SI1,natural,0
Round,2090,1.15,I,VS1,lab,0
Round,1500,0.31,D,IF,natural,0
Oval,5140,1.29,F,SI2,natural,0
Round,2760,1.52,I,VS2,lab,0
Heart,610,0.31,F,SI2,natural,0
Princess,520,0.28,G,VVS2,natural,0
Round,2460,0.5,F,VS1,natural,0
Round,3850,2.16,J,VS2,lab,0
Pear,2180,0.7,D,VS1,natural,0
Round,7480,1.01,H,VS1,natural,0
Round,1370,0.4,D,VS2,natural,0
Radiant,14620,1.8,F,VS1,natural,1
Princess,570,0.33,E,SI1,natural,0
Round,1140,0.41,D,VS1,natural,0
Round,1850,1.17,I,VS1,lab,0
Round,13090,1.51,E,VS1,natural,0
Princess,4410,1.51,F,VS1,lab,1
Round,8400,2.5,H,VS1,lab,0
Cushion,2170,1.01,F,VS1,lab,1
Pear,690,0.4,I,SI2,natural,0
Cushion,1470,0.92,G,VS2,lab,0
Pear,1000,0.71,E,SI1,lab,0
Round,780,0.6,F,VS2,lab,0
Oval,3260,1.67,I,VS2,lab,0
Round,4440,2.25,J,VS1,lab,0
Round,2640,0.96,F,SI2,natural,1
Round,760,0.32,D,SI1,natural,0
Round,3420,0.7,E,VVS2,natural,0
Round,2840,0.8,J,VS2,natural,0
Princess,1580,0.9,F,VS1,lab,0
Round,1650,0.51,H,VS1,natural,0
Round,2440,1.05,F,VS1,lab,0
Round,480,0.38,E,VVS1,lab,0
Round,500,0.25,F,VS2,natural,0
Oval,6250,1.0,E,VS2,natural,1
Round,1600,0.45,D,VS1,natural,0
Round,2450,0.83,G,SI2,natural,1
Oval,4550,2.26,J,VS2,lab,0
Round,1020,0.3,D,VVS2,natural,0
Oval,490,0.49,F,VS2,lab,0
Cushion,1480,0.91,F,VS2,lab,0
Round,1160,0.38,E,VVS2,natural,0
Emerald,1690,1.0,E,SI1,lab,1
Emerald,6410,2.07,G,VS1,lab,1
Round,2510,0.5,D,VVS1,natural,0
Oval,810,0.3,D,VVS2,natural,1
Princess,2200,1.51,J,VS2,lab,0
Emerald,710,0.37,H,VS1,natural,0
Round,1620,1.03,I,VS1,lab,0
Oval,3620,1.8,I,VS2,lab,0
Round,3560,0.7,E,VVS2,natural,0
Round,1380,0.5,G,SI2,natural,1
Pear,1530,1.01,H,SI1,lab,0
Round,1510,0.46,F,VS2,natural,0
Oval,1780,0.53,F,VVS2,natural,0
Round,3420,0.73,E,VS1,natural,0
Princess,1180,0.72,F,VS2,lab,0
Round,610,0.25,F,VS1,natural,0
Oval,1110,0.74,F,VS2,lab,0
Princess,520,0.3,E,VS1,natural,1
Oval,4220,2.03,J,VS1,lab,0
Round,380,0.3,D,VVS2,lab,0
Cushion,1830,1.0,G,VS2,lab,1
Round,1520,0.61,J,VVS2,natural,0
Round,2570,0.8,I,SI1,natural,0
Round,1820,0.5,D,SI1,natural,0
Round,1080,0.4,E,VS2,natural,0
Pear,2530,1.09,F,VVS2,lab,0
Round,1140,0.36,E,VVS2,natural,0
Round,2520,1.12,F,VS1,lab,0
Round,350,0.3,D,VS2,lab,1
Round,1400,0.43,F,VVS2,natural,0
Round,890,0.3,F,VVS2,natural,0
Oval,3630,1.72,H,SI2,lab,0
Round,3900,1.5,G,VS1,lab,0
Round,1400,1.2,J,SI1,lab,0
Round,2930,1.24,G,VVS2,lab,0
Round,1130,0.7,G,VS1,lab,0
Round,3680,0.76,F,VS2,natural,0
Emerald,720,0.56,E,VS1,lab,1
Pear,5390,1.11,D,VVS2,lab,0
Round,3280,0.7,F,VVS2,natural,1
Round,750,0.7,G,SI2,lab,0
Oval,10620,2.75,G,VS2,lab,0
Round,3310,0.9,I,VS1,natural,1
Round,800,0.59,F,VS1,lab,0
Emerald,1320,1.03,I,SI1,lab,0
Oval,580,0.53,E,SI1,lab,0
Round,2520,0.5,E,VS1,natural,0
Oval,4160,1.0,H,SI2,natural,1
Round,950,0.3,D,VVS1,natural,0
Round,8930,1.0,G,IF,natural,0
Radiant,1300,1.01,I,SI1,lab,1
Round,1570,1.21,J,VS2,lab,0
Princess,12410,3.01,I,SI1,lab,0
Round,530,0.3,I,VVS2,natural,0
Round,1480,0.46,H,VS1,natural,0
Oval,4120,2.0,J,VS2,lab,0
Round,2790,1.69,J,VS1,lab,0
Round,910,0.42,E,SI2,natural,0
Oval,4580,1.2,J,SI1,natural,0
Round,2970,0.7,G,VVS1,natural,1
Oval,850,0.33,D,VS1,natural,0
Round,790,0.25,D,VVS1,natural,0
Round,2370,0.59,G,VVS2,natural,0
Round,1290,0.4,F,VS1,natural,0
Round,840,0.8,I,SI1,lab,0
Round,25260,2.62,D,SI2,natural,0
Round,6200,2.02,G,SI1,lab,0
Round,3610,0.7,F,VS1,natural,0
Round,4180,2.13,J,VS1,lab,0
Round,560,0.25,E,VS2,natural,0
Heart,710,0.3,D,VS1,natural,1
Round,960,0.51,D,VS1,lab,0
Pear,970,0.52,I,VS1,natural,1
Pear,1000,0.5,G,SI2,natural,0
Pear,700,0.31,E,VS1,natural,0
Round,1400,0.5,E,SI2,natural,0
Round,880,0.62,E,VS1,lab,0
Round,860,0.3,E,VVS2,natural,0
Pear,550,0.31,G,SI2,natural,0
Oval,4510,1.01,D,SI2,natural,0
Round,760,0.3,E,SI1,natural,0
Princess,980,0.51,F,SI2,natural,1
Round,3870,0.7,F,VS1,natural,0
Oval,2600,0.7,H,IF,natural,0
Pear,720,0.59,E,VS2,lab,0
Round,7470,1.4,J,VS2,natural,0
Oval,940,0.75,I,VVS1,lab,0
Oval,1050,0.7,F,VS2,lab,1
Emerald,820,0.33,E,VVS1,natural,0
Round,2950,0.6,E,VVS2,natural,0
Cushion,2550,1.41,I,VS1,lab,0
Round,1950,1.01,G,VS2,lab,0
Round,1970,1.08,I,VS1,lab,0
Cushion,3680,2.06,I,SI2,lab,0
Round,1340,0.5,G,SI2,natural,1
Oval,5750,2.08,H,VVS2,lab,0
Round,1200,0.76,F,VS1,lab,0
Oval,4540,2.0,I,SI1,lab,0
Heart,7350,2.3,G,VS2,lab,0
Round,8860,2.11,H,VS1,lab,0
Round,2370,0.7,D,SI2,natural,1
Round,1310,0.4,E,VS2,natural,0
Emerald,820,0.45,I,VVS2,natural,0
Pear,1060,0.73,G,VS2,lab,0
Heart,9020,1.5,H,VVS2,natural,1
Round,1800,0.54,D,VS2,natural,0
Emerald,2110,0.7,E,VS2,natural,0
Round,820,0.27,D,VVS1,natural,0
Round,3530,0.7,F,VVS1,natural,1
Round,770,0.3,G,IF,natural,1
Round,1760,0.46,F,VVS2,natural,0
Round,2880,0.58,E,VVS1,natural,0
Marquise,610,0.3,G,VVS2,natural,0
Oval,7540,1.2,D,SI1,natural,0
Round,1200,0.39,D,VS1,natural,0
Emerald,5120,2.02,G,SI1,lab,1
Emerald,770,0.8,H,SI2,lab,0
Heart,750,0.33,E,VS1,natural,1
Round,3050,1.81,J,VS2,lab,0
Round,6760,2.0,G,VS2,lab,1
Round,14540,1.51,D,VS1,natural,0
Round,3270,0.7,E,VVS1,natural,0
Round,940,0.6,D,VS1,lab,0
Pear,15090,1.7,F,VS2,natural,1
Round,1370,1.22,J,SI2,lab,1
Cushion,26790,2.32,D,VVS2,natural,0
Round,1320,0.41,F,VVS2,natural,0
Round,1900,0.93,H,VVS1,lab,0
Round,1090,0.5,J,VS2,natural,0
Emerald,1670,0.7,E,SI2,natural,0
Round,10910,1.51,E,VS2,natural,0
Round,4150,1.81,H,VS2,lab,0
Princess,1070,0.5,D,SI1,natural,0
Round,5920,0.92,E,VVS1,natural,0
Oval,510,0.47,E,VVS2,lab,1
Princess,10870,1.53,G,VVS2,natural,0
Pear,310,0.31,F,VS2,lab,0
Cushion,4820,1.2,H,SI1,natural,0
Round,730,0.4,I,SI2,natural,0
Marquise,820,0.35,E,VVS2,natural,0
Round,980,0.3,E,VS1,natural,0
Princess,1800,1.19,I,VS1,lab,0
Round,880,0.43,J,VVS1,natural,1
Round,560,0.43,E,VVS2,lab,0
Round,640,0.26,G,VVS2,natural,0
Round,870,0.41,I,IF,natural,0
Round,870,0.3,E,VS1,natural,0
Round,2630,0.51,D,VS1,natural,0
Round,1020,0.31,F,VVS1,natural,0
Round,1410,0.42,G,VVS1,natural,0
Cushion,4140,1.56,G,VS1,lab,1
Princess,1130,0.71,E,VS2,lab,0
Round,840,0.3,E,VVS2,natural,0
Round,3590,2.01,J,VS2,lab,0
Round,1400,0.5,G,SI1,natural,1
Round,11600,2.03,D,VVS2,lab,0
Oval,2780,0.73,H,VS2,natural,0
Round,1010,0.31,D,VS1,natural,0
Round,740,0.3,E,VVS2,natural,0
Round,1020,0.9,I,SI2,lab,0
Round,510,0.33,J,IF,natural,0
Round,2160,1.35,I,VS2,lab,0
Oval,4190,2.05,J,VS2,lab,0
Round,610,0.5,E,VS2,lab,1
Round,1790,1.0,I,VS2,lab,0
Round,2190,0.81,F,SI2,natural,1
Round,2240,0.5,G,VS2,natural,0
Pear,1030,0.46,G,VS1,natural,0
Round,6590,1.0,D,VS1,natural,1
Asscher,4750,1.5,E,VS1,lab,0
Round,880,0.3,D,VS2,natural,0
Round,750,0.4,I,VVS2,natural,1
Round,1960,0.52,E,VVS2,natural,0
Round,2010,1.26,J,VS1,lab,0
Pear,480,0.46,E,VS1,lab,0
Round,1930,1.51,J,SI2,lab,0
Cushion,3190,1.1,I,SI1,natural,0
Round,920,0.69,H,VS1,lab,0
Cushion,1970,1.15,E,SI1,lab,1
Oval,2330,0.71,E,SI1,natural,0
Round,470,0.3,F,SI2,natural,1
Round,1780,1.1,J,VS1,lab,0
Round,660,0.28,D,VS2,natural,0
Round,7340,1.29,E,SI2,natural,0
Oval,670,0.55,F,VS1,lab,0
Pear,650,0.54,D,SI1,lab,0
Round,4420,1.51,G,VVS2,lab,0
Round,6320,1.2,F,SI1,natural,0
Round,850,0.44,J,VVS1,natural,0
Emerald,1630,0.5,D,VVS1,natural,0
Round,19120,3.01,F,VS1,lab,0
Round,1950,1.18,I,VVS2,lab,0
Round,1550,0.42,D,VVS1,natural,0
Round,3250,0.84,I,VVS2,natural,0
Round,2040,1.16,I,VS2,lab,0
Round,620,0.53,G,VS2,lab,0
Round,26090,1.79,E,VVS1,natural,0
Pear,320,0.31,E,SI1,lab,1
Round,670,0.25,D,VVS2,natural,0
Round,6550,2.41,I,VS1,lab,0
Round,2000,1.27,I,VS1,lab,0
Round,2080,1.04,G,VS1,lab,0
Round,2960,1.28,G,VS1,lab,0
Round,780,0.35,E,SI1,natural,0
Round,1880,0.5,G,VS2,natural,1
Emerald,800,0.41,E,SI1,natural,0
Princess,2090,1.53,J,SI1,lab,0
Pear,380,0.37,E,VS2,lab,0
Oval,5760,2.42,I,VS2,lab,0
Round,9540,2.51,H,VVS2,lab,0
Oval,14160,1.73,E,VS1,natural,1
Round,2380,0.6,D,VS1,natural,0
Pear,3070,0.9,H,VS1,natural,0
Round,970,0.4,J,VVS1,natural,1
Round,500,0.44,D,SI1,lab,0
Pear,6150,2.54,H,SI1,lab,0
Round,1140,0.37,G,IF,natural,0
Oval,9200,1.5,H,SI2,natural,0
Round,1810,1.08,H,VS2,lab,0
Oval,1160,0.73,E,VS2,lab,1
Oval,3350,1.63,I,VS2,lab,0
Pear,3800,1.01,E,SI1,natural,0
Marquise,1710,1.02,H,VS2,lab,0
Round,11240,1.74,I,VS2,natural,0
Pear,3980,1.0,F,SI1,natural,0
Asscher,17960,2.12,F,VS1,natural,0
Round,780,0.3,G,VVS2,natural,0
Princess,2270,1.01,G,SI2,natural,0
Pear,470,0.44,F,VVS2,lab,0
Princess,2340,0.8,G,SI1,natural,1
Round,1240,0.46,G,VS2,natural,0
Princess,3300,2.07,J,VS2,lab,0
Pear,5030,2.0,I,VS2,lab,0
Round,390,0.35,D,SI1,lab,0
Round,930,0.4,D,VS2,natural,1
Round,2940,0.8,E,VS2,natural,1
Round,1100,0.64,E,VS1,lab,0
Round,2590,0.6,D,VS1,natural,0
Pear,1670,0.51,F,VVS2,natural,0
Round,1800,0.7,J,SI2,natural,0
Oval,1130,0.72,E,VS2,lab,1
Oval,790,0.31,D,VS1,natural,0
Pear,1720,0.6,H,VS1,natural,1
Pear,320,0.31,E,VS1,lab,0
Round,990,0.3,E,VVS2,natural,0
Oval,2790,1.51,I,SI2,lab,0
Round,6060,1.5,F,VVS1,lab,1
Round,880,0.3,G,VS1,natural,0
Round,3010,1.21,F,VS1,lab,0
Round,13130,1.55,H,VVS2,natural,0
Cushion,4430,1.21,E,SI2,natural,0
Oval,3290,1.02,I,SI2,natural,0
Round,2200,0.53,E,VVS1,natural,0
Round,5640,2.02,I,VVS1,lab,0
Emerald,910,0.7,F,SI1,lab,0
Pear,700,0.57,F,VS1,lab,0
Round,420,0.4,I,VS2,lab,0
Round,740,0.3,H,VVS1,natural,0
Round,3690,1.51,G,VS2,lab,0
Round,2550,0.5,E,VVS2,natural,0
Round,360,0.3,E,VVS2,lab,0
Round,2890,0.61,F,VS1,natural,0
Round,1880,0.5,D,SI1,natural,0
Round,16900,1.8,D,SI1,natural,0
Oval,950,0.5,G,SI2,natural,1
Round,1600,0.5,E,VS2,natural,1
Round,3850,0.8,H,VVS1,natural,0
Emerald,570,0.57,I,VS1,lab,1
Round,15020,2.71,G,SI2,natural,0
Round,5400,1.15,J,VVS2,natural,0
Round,2070,1.3,I,VS2,lab,0
Round,2780,1.18,G,VVS2,lab,0
Round,36520,3.29,D,VVS1,lab,0
Pear,820,0.51,D,VVS2,lab,0
Marquise,3140,0.81,E,SI1,natural,1
Round,1710,0.5,D,VS1,natural,1
Round,1770,1.12,I,VS1,lab,0
Emerald,2760,0.76,G,VVS2,natural,0
Round,2910,0.7,E,SI1,natural,0
Princess,3250,2.04,J,VS2,lab,0
Oval,840,0.52,D,VVS2,lab,0
Round,2620,1.0,F,VVS2,lab,0
Round,11200,1.01,E,VVS1,natural,0
Round,740,0.3,H,IF,natural,0
Round,1770,0.41,D,IF,natural,0
Oval,8120,1.71,H,SI2,natural,0
Emerald,1580,0.74,H,SI1,natural,0
Oval,4160,1.0,I,SI1,natural,0
Round,2090,0.57,E,SI1,natural,0
Round,1540,1.08,J,VVS2,lab,0
Oval,6320,2.34,H,VS1,lab,0
Round,2110,1.24,H,VS2,lab,0
Round,840,0.3,E,VS2,natural,0
Round,2270,1.17,F,VS2,lab,0
Round,2490,0.66,H,VS1,natural,0
Emerald,4090,2.06,J,SI1,lab,0
Princess,2720,1.26,E,VS2,lab,0
Round,940,0.75,E,SI2,lab,0
Round,660,0.34,H,VVS1,natural,0
Round,2190,0.5,E,VVS1,natural,1
Round,790,0.3,D,VS1,natural,0
Round,4820,1.29,I,SI2,natural,0
Round,390,0.34,E,VS2,lab,0
Round,2600,1.51,J,VVS2,lab,0
Oval,3710,0.8,F,VVS2,natural,0
Oval,1770,0.66,E,SI1,natural,1
Round,860,0.3,E,VS2,natural,0
Oval,5340,2.3,G,SI2,lab,0
Round,800,0.3,E,VVS1,natural,0
Round,910,0.34,D,VVS2,natural,0
Emerald,6180,2.02,H,VS1,lab,0
Round,2700,0.5,D,VVS2,natural,0
Princess,540,0.3,E,SI1,natural,0
Round,1810,0.5,D,VS2,natural,1
Round,2780,0.8,J,VS1,natural,0
Pear,820,0.72,I,SI1,lab,0
Round,11680,2.06,D,VVS2,lab,0
Round,2340,1.07,H,VVS1,lab,0
Round,890,0.35,H,VVS1,natural,0
Round,14810,2.3,D,VVS2,lab,0
Round,69490,5.37,I,SI2,natural,0
Princess,1380,0.5,D,VS2,natural,0
Pear,800,0.62,E,VS1,lab,1
Round,1360,0.4,D,VVS2,natural,0
Oval,1380,0.5,D,SI1,natural,0
Emerald,720,0.32,E,VS1,natural,0
Round,6430,2.12,H,VS1,lab,0
Radiant,3430,1.43,F,VS1,lab,0
Round,970,0.32,D,VS1,natural,0
Round,640,0.25,G,VVS2,natural,0
Emerald,3320,2.1,J,SI1,lab,0
Round,4590,2.0,I,SI1,lab,1
Round,990,0.33,G,VVS1,natural,0
Round,4910,2.05,I,VS1,lab,0
Princess,2650,1.8,J,VS2,lab,0
Round,1540,1.02,G,SI2,lab,0
Round,2290,1.08,H,VS2,lab,0
Round,3640,1.28,E,VVS2,lab,0
Cushion,11650,2.01,J,SI1,natural,1
Round,1060,0.3,F,IF,natural,0
Round,1400,0.41,D,VVS1,natural,0
Emerald,1200,1.01,J,VS2,lab,0
Round,1770,0.5,E,VS2,natural,1
Round,940,0.32,F,VS1,natural,0
Princess,670,0.3,F,VVS1,natural,0
Round,2620,1.3,G,VS2,lab,0
Princess,4620,1.2,H,VS1,natural,1
Pear,320,0.33,G,VS2,lab,0
Round,1840,0.5,H,VS1,natural,0
Round,1080,0.4,F,VS2,natural,1
Oval,1300,0.9,H,SI1,lab,0
Round,1950,0.5,F,SI1,natural,0
Round,5440,0.9,D,VVS2,natural,0
Round,720,0.3,J,VVS1,natural,0
Marquise,1170,0.5,E,SI2,natural,1
Round,890,0.37,H,VS1,natural,0
Marquise,1680,0.61,D,VS2,natural,0
Princess,2050,0.72,H,VS1,natural,1
Round,910,0.3,D,VS1,natural,0
Round,3850,0.7,F,VS1,natural,0
Round,2670,0.55,E,IF,natural,0
Round,1370,0.45,G,VVS2,natural,1
Round,6140,0.87,F,VVS1,natural,0
Pear,1620,0.91,D,VS2,lab,0
Round,5030,1.0,D,SI1,natural,1
Round,900,0.72,F,SI2,lab,0
Round,840,0.34,E,SI1,natural,0
Round,760,0.3,F,VS2,natural,0
Oval,650,0.32,G,SI1,natural,0
Round,1240,0.43,F,VS2,natural,0
Round,1370,0.5,G,SI1,natural,1
Round,2380,1.01,I,VS1,lab,0
Round,3200,1.23,F,VVS2,lab,0
Round,8640,2.15,F,VS1,lab,0
Round,1450,0.5,F,SI1,natural,1
Round,1700,0.44,E,IF,natural,0
Pear,1540,0.5,D,VS2,natural,1
Round,5750,1.51,E,VVS2,lab,0
Pear,2600,1.01,E,VVS2,lab,0
Oval,4960,1.74,G,VS1,lab,0
Round,4050,1.67,G,VS2,lab,0
Emerald,1810,0.71,F,SI1,natural,0
Round,2700,1.63,I,SI1,lab,0
Oval,520,0.5,E,SI1,lab,1
Round,1170,0.52,G,SI2,natural,1
Round,5060,1.2,J,SI1,natural,0
Oval,3730,1.78,I,VS1,lab,1
Round,830,0.3,D,VS2,natural,0
Emerald,1010,0.5,E,VVS1,natural,1
Round,1290,0.4,G,VVS1,natural,0
Round,7820,1.74,D,VS1,lab,0
Round,2040,0.81,G,SI2,natural,1
Round,7260,2.16,G,VS2,lab,0
Round,3130,0.96,H,SI2,natural,0
Round,1610,1.14,I,SI1,lab,0
Oval,7440,1.5,J,SI2,natural,0
Round,3510,0.7,G,VS1,natural,0
Oval,590,0.55,G,VS2,lab,0
Emerald,4910,2.25,H,SI1,lab,0
Round,1330,0.4,E,VVS1,natural,0
Round,3850,1.58,H,VS1,lab,0
Round,8750,2.02,G,VVS2,lab,0
Round,1680,0.5,E,SI1,natural,0
Pear,880,0.5,H,SI1,natural,1
Round,670,0.3,D,SI2,natural,0
Emerald,1530,1.01,I,VS1,lab,1
Emerald,1900,0.59,F,VS1,natural,0
Round,1890,0.52,D,VS1,natural,0
Round,10260,2.06,F,VVS2,lab,0
Princess,3740,1.0,H,VS2,natural,1
Cushion,12830,3.03,G,VS2,lab,0
Round,700,0.3,D,SI1,natural,0
Oval,7600,2.15,F,VS1,lab,0
Round,1220,0.4,G,VS2,natural,0
Oval,3780,2.0,I,SI2,lab,0
Princess,1010,0.51,D,SI1,natural,0
Round,4650,1.0,I,SI1,natural,0
Round,2030,1.15,I,SI1,lab,0
Cushion,4310,1.0,G,VS1,natural,0
Cushion,4070,1.01,D,SI1,natural,0
Oval,770,0.32,D,VS1,natural,0
Cushion,11010,1.8,H,SI1,natural,0
Emerald,1450,0.52,D,VVS2,natural,0
Princess,710,0.37,I,VVS1,natural,0
Round,790,0.3,E,VS2,natural,0
Heart,3500,2.06,J,VS1,lab,1
Round,1780,1.17,I,SI2,lab,0
Round,3300,0.9,G,SI1,natural,1
Round,1750,1.07,I,VS1,lab,0
Round,680,0.52,H,VS1,lab,1
Round,2440,0.56,F,VS1,natural,0
Round,340,0.3,D,SI1,lab,1
Oval,1260,0.73,E,VVS2,lab,0
Round,1630,0.4,F,IF,natural,1
Round,750,0.33,G,VVS1,natural,0
Cushion,13540,2.71,E,VS1,lab,1
Round,2770,0.56,D,VS1,natural,0
Oval,8790,2.04,E,VVS2,lab,0
Round,5680,1.03,D,SI2,natural,0
Round,1690,0.5,H,VVS2,natural,1
Princess,5820,1.76,G,VVS1,lab,0
Round,2690,1.03,F,VVS2,lab,0
Round,2070,1.0,H,VS2,lab,0
Round,3940,1.52,G,VS1,lab,0
Round,6560,2.44,I,VS2,lab,0
Round,1510,0.5,G,SI2,natural,1
Round,2300,0.5,G,VS2,natural,0
Princess,3300,1.58,J,VS1,lab,0
Round,840,0.37,E,VS2,natural,1
Round,5490,0.97,I,IF,natural,0
Round,2930,0.75,I,VS2,natural,0
Round,1070,0.32,D,VVS1,natural,0
Round,2770,0.7,F,VS1,natural,1
Round,3030,0.9,H,SI1,natural,1
Pear,3950,0.9,F,VVS2,natural,0
Cushion,2070,0.7,D,SI2,natural,0
Pear,13820,1.79,F,SI1,natural,0
Round,4530,0.85,D,VS1,natural,0
Round,3450,0.7,D,VS1,natural,0
Oval,520,0.48,E,VVS2,lab,0
Princess,530,0.3,D,SI1,natural,0
Round,4560,1.0,G,SI2,natural,0
Round,8480,1.01,F,VS2,natural,0
Marquise,1200,0.51,E,SI2,natural,0
Round,610,0.27,E,VS2,natural,0
Round,1030,0.33,D,VS2,natural,0
Round,3830,1.58,G,VS2,lab,0
Round,4780,1.16,J,SI1,natural,0
Round,910,0.3,D,VS2,natural,0
Emerald,2220,0.81,G,VS2,natural,0
Round,900,0.33,D,VS2,natural,0
Round,600,0.27,E,VS2,natural,0
Round,1840,1.01,H,VS1,lab,0
Round,3570,1.65,F,SI1,lab,0
Round,1020,0.71,F,VS2,lab,0
Round,350,0.3,F,VVS2,lab,0
Pear,1480,1.01,H,SI1,lab,1
Round,860,0.32,E,VVS2,natural,0
Round,3270,1.15,E,VVS2,lab,0
Emerald,550,0.3,G,VS2,natural,0
Pear,1330,0.5,I,VVS2,natural,1
Round,1130,0.3,D,VVS1,natural,0
Round,2810,1.08,D,VS1,lab,0
Round,24800,1.9,D,VVS1,natural,0
Cushion,4640,1.5,D,VS2,lab,1
Oval,3570,1.71,I,VS1,lab,0
Round,3830,2.03,J,SI1,lab,1
Round,880,0.32,D,VS1,natural,0
Princess,2370,1.03,F,VVS2,lab,0
Round,1120,0.41,E,VVS2,natural,0
Round,490,0.46,H,VS2,lab,0
Oval,28160,3.2,J,VS2,natural,0
Round,920,0.33,E,VS2,natural,0
Oval,1150,0.5,F,SI1,natural,0
Pear,15840,2.0,G,SI1,natural,1
Emerald,1250,1.0,J,VS1,lab,0
Round,2380,0.71,D,SI2,natural,0
Round,1820,1.15,I,VS1,lab,0
Round,1370,0.4,G,VS1,natural,0
Emerald,3210,1.01,J,VVS2,natural,0
Oval,1820,0.65,F,SI2,natural,0
Emerald,860,0.38,D,VS1,natural,0
Pear,320,0.3,D,VS1,lab,1
Round,3470,1.11,D,VVS2,lab,0
Round,1120,0.4,D,SI2,natural,0
Round,1200,0.5,E,SI2,natural,0
Round,650,0.51,E,SI1,lab,0
Round,3440,0.67,E,IF,natural,0
Round,770,0.74,J,VS2,lab,0
Emerald,1420,0.91,F,SI1,lab,0
Oval,400,0.35,D,IF,lab,1
Round,1410,0.42,E,VS1,natural,0
Round,820,0.34,E,VS2,natural,0
Pear,310,0.3,E,VS1,lab,0
Round,350,0.31,F,VS1,lab,0
Round,1230,0.46,D,VS2,natural,1
Round,2950,0.9,I,SI1,natural,1
Round,1770,1.09,J,VS1,lab,0
Princess,1990,0.6,D,VVS1,natural,1
Emerald,6020,1.06,E,IF,natural,1
Pear,2170,0.7,E,VS2,natural,0
Marquise,630,0.36,E,SI1,natural,0
Round,630,0.59,I,VS2,lab,1
Round,6740,2.07,H,VS1,lab,0
Round,720,0.3,D,SI1,natural,0
Pear,1040,0.59,H,SI1,natural,1
Pear,3990,1.0,D,SI2,natural,0
Round,800,0.6,F,VVS2,lab,0
Oval,700,0.53,E,VS1,lab,1
Oval,1420,1.02,I,SI1,lab,0
Emerald,640,0.3,D,VS1,natural,0
Cushion,2330,1.01,D,VS2,lab,0
Oval,560,0.5,F,VS2,lab,0
Round,3760,1.51,G,SI1,lab,0
Round,2810,0.6,F,VS1,natural,0
Round,3650,0.75,G,VVS2,natural,0
Round,990,0.3,E,VVS1,natural,0
Round,4030,0.7,F,VVS1,natural,0
Round,1170,0.37,D,VVS1,natural,0
Round,1650,1.0,I,VVS2,lab,0
Round,2900,1.16,F,VS1,lab,0
Emerald,580,0.3,D,SI1,natural,0
Round,2140,1.3,G,SI2,lab,0
Round,650,0.4,E,SI2,natural,1
Round,6610,1.01,F,VS1,natural,1
Pear,340,0.33,E,VS2,lab,1
Round,4220,0.71,F,VVS2,natural,0
Round,630,0.57,H,VS1,lab,0
Marquise,430,0.42,F,VS2,lab,1
Round,1820,0.5,E,VS1,natural,1
Round,710,0.41,F,SI2,natural,1
Round,3020,0.6,E,VVS1,natural,0
Oval,680,0.3,E,VS1,natural,0
Round,1720,0.5,D,SI1,natural,1
Oval,3780,0.96,H,SI2,natural,0
Princess,14860,1.51,E,VVS1,natural,0
Oval,510,0.5,F,SI1,lab,1
Round,1280,0.4,E,VS2,natural,0
Round,4270,2.02,J,VS1,lab,0
Round,3000,1.68,I,VS2,lab,0
Cushion,3950,1.01,E,SI2,natural,0
Round,3870,0.8,G,VVS2,natural,0
Round,1130,0.4,D,VS2,natural,0
