shape,price,carat,color,clarity,type,cut
Cushion,9730,1.73,H,VS2,natural,0
Emerald,1580,1.08,E,SI2,lab,1
Round,3220,0.7,G,VVS1,natural,1
Emerald,5040,2.5,H,SI2,lab,1
Emerald,510,0.3,H,VS2,natural,0
Round,1040,0.5,I,SI1,natural,0
Round,1020,0.57,D,VVS2,lab,0
Round,2360,0.55,E,VS1,natural,0
Princess,3250,1.49,E,SI1,lab,0
Round,1540,0.5,I,VS2,natural,1
Round,720,0.3,D,SI1,natural,0
Princess,490,0.3,G,VS2,natural,0
Round,1850,1.03,I,SI1,lab,0
Round,30140,1.81,D,VVS1,natural,0
Round,1790,1.17,I,VS2,lab,0
Round,2520,1.28,J,VS2,lab,0
Oval,6810,2.1,G,VS1,lab,0
Round,550,0.3,F,SI1,natural,0
Emerald,3810,0.91,G,IF,natural,0
Round,760,0.3,D,SI1,natural,0
Round,3060,1.7,J,VVS2,lab,1
Round,740,0.61,E,SI1,lab,0
Round,2670,1.15,E,VS1,lab,0
Princess,580,0.33,E,VS1,natural,0
Oval,2330,1.52,J,SI1,lab,1
Radiant,1100,0.71,E,VS2,lab,0
Round,3560,1.0,I,SI2,natural,0
Radiant,3850,2.0,J,VS2,lab,1
Pear,520,0.52,H,VS2,lab,1
Round,1120,0.42,H,VS2,natural,0
Round,1740,1.03,H,VS2,lab,0
Round,5270,1.0,H,VS1,natural,1
Oval,2370,0.9,G,VS1,lab,0
Round,1230,0.41,G,VVS1,natural,0
Round,390,0.37,G,SI1,lab,0
Round,1060,0.4,G,VVS2,natural,0
Oval,2980,1.51,I,VS2,lab,1
Round,840,0.37,E,VS2,natural,0
Oval,6190,2.51,I,SI2,lab,0
Round,990,0.3,D,VVS1,natural,0
Marquise,430,0.45,F,SI2,lab,1
Round,1570,0.45,D,VS1,natural,0
Round,4610,2.2,J,VS1,lab,0
Princess,1810,1.09,H,VS2,lab,0
Round,2360,0.5,D,VS1,natural,0
Round,800,0.3,E,VS2,natural,0
Emerald,1730,0.59,G,VVS1,natural,0
Round,2160,1.2,I,VS1,lab,0
Pear,490,0.51,H,SI2,lab,0
Round,1370,0.41,G,VS2,natural,0
Pear,360,0.38,G,SI1,lab,1
Round,1670,0.9,F,VS2,lab,0
Round,580,0.26,H,VS2,natural,0
Oval,3860,1.52,G,VS2,lab,0
Oval,4670,2.01,I,SI1,lab,0
Pear,880,0.7,G,SI1,lab,1
Round,1860,1.0,H,VS1,lab,0
Cushion,370,0.38,F,SI1,lab,0
Round,3960,1.0,G,SI2,natural,1
Pear,460,0.46,G,VS1,lab,0
Cushion,1750,1.06,F,SI1,lab,1
Marquise,3170,0.9,E,SI2,natural,0
Pear,1420,0.6,H,VS2,natural,0
Round,1770,0.5,D,SI2,natural,0
Pear,480,0.48,E,SI1,lab,0
Asscher,3350,1.5,F,SI1,lab,1
Oval,1280,0.5,E,SI1,natural,0
Round,1760,1.15,I,VS2,lab,0
Round,900,0.32,D,VS2,natural,0
Round,2300,0.6,F,VVS2,natural,1
Emerald,610,0.3,I,VS1,natural,0
Round,1350,0.4,E,VS1,natural,0
Radiant,26250,2.4,F,VS1,natural,0
Emerald,550,0.54,E,SI1,lab,0
Round,1200,0.35,E,VVS2,natural,0
Oval,3180,0.9,G,SI2,natural,0
Emerald,1230,0.6,D,SI2,natural,0
Radiant,1190,0.94,I,SI1,lab,1
Round,6860,2.29,H,VS1,lab,0
Round,14860,1.3,E,VVS1,natural,0
Oval,17400,3.09,E,VS1,lab,0
Round,1180,0.51,H,SI2,natural,0
